county,state,year,9th_to_12th_grade_no_diploma,associates_degree,bachelors_degree,graduate_or_professional_degree,high_school_graduate_(includes_equivalency),less_than_9th_grade,some_college_no_degree,married_couple_family,with_own_children_of_the_householder_under_18_years,male_householder_no_spouse/partner_present,female_householder_no_spouse/partner_present,foreign_born,native,females_15_years_and_over,males_15_years_and_over,american_indian_and_alaska_native,asian,black_or_african_american,native_hawaiian_and_other_pacific_islander,some_other_race,white,median_age_(years),sex_ratio_(males_per_100_females),mean_travel_time_to_work_(minutes),unemployment_rate,per_capita_income_(dollars),mean_household_income_(dollars),median_household_income_(dollars),mean_cash_public_assistance_income_(dollars),mean_earnings_(dollars),mean_retirement_income_(dollars),mean_social_security_income_(dollars),mean_supplemental_security_income_(dollars),homeowner_vacancy_rate,average_household_size_of_owner_occupied_unit,average_household_size_of_renter_occupied_unit,median_rooms,moved_in_1979_and_earlier,moved_in_1980_to_1989,moved_in_1990_to_1999,moved_in_2000_to_2009,moved_in_2010_to_2014,moved_in_2015_or_later,housing_units_with_a_mortgage,housing_units_without_a_mortgage,total_housing_units,10_to_19_units,1_unit_attached,1_unit_detached,2_units,20_or_more_units,3_or_4_units,5_to_9_units,boat_rv_van_etc_,mobile_home,average_household_size
Lawrence County, Pennsylvania,2016,43.1,14.4,8.5,90.3,16.6,6.9,7.7,65.6,23.3,4.6,34.4,1535,97.8,25.4,31.2,1.2,0.4,88528.0,0.5,0.0,0.6,44.6,5.2,20.9,(X),27772,65697,46918,1185,64116,15854,18242,8903,4.3,2.47,2.1,5.8,17.6,12.2,14.7,23.1,19.7,12.6,14819,11533,40618,0.6,2.8,77.0,2.6,3.9,2.9,2.7,0.0,7.4,2.47
Lebanon County, Pennsylvania,2016,45.3,13.4,7.2,88.6,16.0,8.4,6.8,68.9,26.1,4.9,31.1,4904,92.5,25.9,31.9,11.7,0.9,136950.0,8.1,0.1,7.3,41.2,6.2,23.5,(X),27449,70452,57248,1352,70285,23202,19344,11191,4.5,2.64,2.67,5.9,11.3,8.5,11.4,29.2,25.4,14.1,21189,14385,56637,1.5,18.4,59.3,5.5,3.1,4.1,1.4,0.0,6.6,2.64
Lehigh County, Pennsylvania,2016,34.0,18.2,11.2,89.2,17.4,6.3,8.4,67.1,30.4,5.7,32.9,38812,83.6,31.0,36.1,21.8,1.2,358792.0,12.5,0.2,8.9,39.5,5.9,24.5,(X),32424,82854,60498,2167,84648,22466,18697,9630,0.6,2.59,2.45,6.0,9.1,7.2,13.6,25.1,27.6,17.5,58102,31085,144222,4.3,24.7,48.0,4.0,5.9,5.8,5.5,0.0,1.9,2.59
Luzerne County, Pennsylvania,2016,39.0,14.7,8.4,89.4,16.5,7.5,10.9,62.0,24.9,4.6,38.0,17703,92.6,31.0,37.7,9.3,1.4,318917.0,2.3,0.1,3.6,43.0,5.0,22.5,(X),26893,64446,46580,1716,69051,17940,17400,9878,3.0,2.54,2.26,5.9,17.4,8.5,13.3,25.0,19.6,16.2,46885,37625,147888,1.2,12.8,63.9,6.1,4.0,5.9,3.2,0.0,3.0,2.54
Lycoming County, Pennsylvania,2016,37.5,13.8,7.4,90.8,20.6,6.6,11.5,64.8,26.8,4.3,35.2,1714,97.7,26.3,34.9,1.8,0.6,116313.0,0.7,0.1,0.7,41.2,5.6,21.4,(X),25222,61228,49052,1768,58870,21533,19244,9964,0.8,2.47,2.26,6.0,13.0,9.6,15.0,22.4,24.9,15.1,19046,11943,52690,3.0,5.2,67.5,6.5,3.5,3.8,4.3,0.0,6.3,2.47
Mercer County, Pennsylvania,2016,42.7,12.7,9.3,90.3,16.3,6.9,9.3,67.1,23.6,5.2,32.9,1736,98.1,24.7,30.5,1.3,0.5,114598.0,0.5,0.1,0.4,44.1,4.9,19.6,(X),26486,64329,49890,1534,65157,17001,19535,9414,2.2,2.31,2.32,6.1,15.5,9.5,16.7,25.3,22.1,10.9,15840,17438,51533,1.2,2.3,76.9,1.9,3.6,2.2,4.2,0.0,7.6,2.31
Monroe County, Pennsylvania,2016,35.8,16.2,9.4,90.2,21.1,6.7,7.6,65.8,21.7,4.5,34.2,15876,87.1,30.5,38.7,14.6,0.6,167126.0,7.9,0.6,3.7,42.0,4.5,39.4,(X),28115,76141,60095,1581,78906,22883,19522,10257,1.8,2.9,2.74,5.9,6.8,9.8,17.8,32.2,19.9,13.5,26716,16596,80759,0.6,7.3,79.9,1.6,2.3,1.8,1.9,0.0,4.6,2.9
Montgomery County, Pennsylvania,2016,24.2,27.5,20.6,94.3,15.2,3.9,6.9,68.7,29.2,3.3,31.3,88009,88.1,27.0,33.0,4.7,1.5,815876.0,1.5,0.2,1.4,41.2,5.6,28.5,(X),43842,113622,84113,3232,114468,28897,22029,11041,1.2,2.72,2.15,6.4,9.2,8.3,15.5,27.0,25.5,14.5,153584,68743,329329,4.2,21.0,54.0,3.2,10.0,3.8,3.0,0.0,0.7,2.72
Northampton County, Pennsylvania,2016,35.4,18.8,10.1,90.8,17.1,6.0,9.4,70.5,26.7,4.4,29.5,24851,88.6,28.9,35.3,12.1,1.4,300520.0,6.8,0.3,2.9,41.9,5.1,27.3,(X),31852,83297,66438,2980,80150,23355,21362,10183,1.5,2.69,2.42,6.2,11.7,8.0,13.4,28.5,21.9,16.5,50817,26314,121647,2.6,18.1,60.4,4.6,5.3,4.3,3.0,0.0,1.8,2.69
Northumberland County, Pennsylvania,2016,50.2,11.7,6.0,87.2,12.0,9.7,7.4,65.2,25.6,8.0,34.8,1375,97.6,23.0,33.1,3.0,0.8,93590.0,1.6,0.2,0.5,44.2,5.3,23.1,(X),25018,59110,47736,1450,60730,18108,17741,7816,2.6,2.35,2.25,6.1,15.6,9.1,14.0,28.7,21.8,10.7,13247,13435,44791,0.7,27.5,54.7,4.9,3.8,2.5,1.8,0.1,4.0,2.35
Philadelphia County, Pennsylvania,2016,31.8,16.9,11.7,83.2,17.4,11.0,5.5,53.4,21.8,6.2,46.6,232031,81.5,49.3,54.5,13.8,1.2,1559938.0,8.7,0.3,6.2,33.9,6.9,33.3,(X),24685,60857,41449,2376,69143,19820,15729,9244,2.7,2.72,2.51,5.6,10.1,7.1,11.3,23.3,27.3,20.9,179235,123263,674504,2.3,58.4,7.8,8.3,12.5,6.5,4.0,0.0,0.2,2.72
Schuylkill County, Pennsylvania,2016,47.3,9.7,6.0,88.5,15.8,8.9,9.7,65.7,25.1,5.7,34.3,2896,97.5,21.1,32.9,3.6,0.8,145503.0,1.8,0.1,1.3,44.1,4.8,26.1,(X),25430,60421,50684,2291,64337,17253,17609,9892,2.0,2.43,2.09,6.2,18.4,9.5,14.2,25.4,22.0,10.6,22674,20778,68822,0.5,29.6,54.1,3.0,1.5,4.5,2.5,0.0,4.3,2.43
Somerset County, Pennsylvania,2016,47.9,10.8,5.2,87.6,14.5,7.0,9.1,66.3,23.5,4.4,33.7,829,98.4,23.4,32.2,1.3,0.4,76201.0,0.6,0.0,0.5,45.5,4.6,24.8,(X),23227,56742,43871,1571,59657,15088,17723,9292,1.1,2.49,2.06,5.8,18.5,12.4,14.8,24.1,20.9,9.4,10698,11861,37897,2.4,6.7,69.1,2.8,2.2,1.3,3.0,0.0,12.5,2.49
Washington County, Pennsylvania,2016,38.8,20.0,9.4,92.4,16.1,5.1,8.1,65.4,25.6,4.9,34.6,4359,97.4,26.4,32.2,1.5,0.6,208269.0,0.3,0.1,0.3,44.3,5.0,26.4,(X),32270,78066,57998,1735,80506,20687,19551,10169,1.6,2.57,2.04,5.8,14.6,9.0,14.4,25.0,22.0,14.9,36805,25043,94536,1.2,7.9,72.2,3.7,3.7,2.3,3.4,0.0,5.5,2.57
Westmoreland County, Pennsylvania,2016,37.4,17.8,10.3,94.1,17.2,3.9,11.5,67.0,22.2,4.0,33.0,6265,97.9,24.5,30.6,1.1,0.4,359377.0,0.3,0.0,0.3,46.3,4.6,25.8,(X),30677,72166,56722,3057,75596,19762,20583,10650,2.3,2.45,1.96,6.1,16.5,10.7,13.9,25.8,22.6,10.4,64625,52125,168230,1.9,5.2,76.7,3.2,3.3,2.6,1.8,0.0,5.3,2.45
York County, Pennsylvania,2016,41.0,15.7,8.5,89.7,16.2,7.4,8.4,69.3,28.1,4.8,30.7,18091,94.5,26.0,32.2,6.6,1.6,440604.0,3.5,0.1,1.7,40.8,5.7,27.2,(X),29610,75945,62462,1880,78090,19573,20076,10116,1.0,2.59,2.47,6.3,9.3,7.7,16.2,29.8,23.4,13.7,87205,41681,181463,2.1,16.2,65.4,2.9,2.6,3.0,2.8,0.1,5.0,2.59
Kent County, Rhode Island,2016,29.0,20.0,12.1,91.9,20.5,5.4,10.2,62.3,23.9,5.6,37.7,9962,93.6,28.2,34.6,4.1,0.5,164886.0,0.9,0.1,1.5,43.7,4.9,24.2,(X),36548,85413,63101,2010,88365,22622,18619,12740,0.9,2.57,2.11,5.3,10.2,8.7,13.7,24.2,27.8,15.4,30381,13785,73612,4.5,3.7,65.4,5.6,11.2,4.1,4.6,0.0,1.0,2.57
Newport County, Rhode Island,2016,21.8,28.3,17.1,94.8,19.9,3.1,7.7,61.8,22.9,3.1,38.2,6080,90.5,28.9,34.7,5.3,0.8,82714.0,1.7,0.2,1.9,44.2,4.4,22.0,(X),41696,96121,73596,4269,91288,30225,18934,11582,0.6,2.35,2.11,5.5,9.2,10.5,16.4,23.2,24.5,16.1,12716,8020,41997,1.9,5.4,59.3,10.3,5.4,9.6,6.7,0.0,1.5,2.35
Providence County, Rhode Island,2016,30.1,18.1,11.3,85.5,18.0,7.3,8.0,59.2,25.4,4.4,40.8,120525,78.0,38.0,43.7,21.0,1.3,631344.0,5.3,0.2,9.9,37.3,5.8,24.5,(X),28960,72289,52369,3497,77393,22568,16704,10055,2.4,2.81,2.32,5.0,8.8,6.6,11.1,24.8,29.9,18.9,83309,38914,263033,5.2,2.9,42.8,15.0,9.7,16.5,7.3,0.0,0.6,2.81
Washington County, Rhode Island,2016,23.6,25.7,20.9,95.3,18.1,3.7,6.9,64.1,22.1,3.8,35.9,7305,93.2,30.2,34.6,2.9,0.4,126319.0,0.9,0.4,1.2,43.9,3.8,28.2,(X),39809,98882,77813,3948,99423,30710,19745,10863,1.3,2.46,2.11,5.8,9.5,10.1,17.3,26.0,25.4,11.7,25131,12127,63167,2.3,3.6,76.3,4.8,2.7,4.6,3.5,0.1,2.2,2.46
Aiken County, South Carolina,2016,32.6,14.5,9.0,85.2,21.3,9.8,7.9,68.6,27.9,4.9,31.4,8610,94.2,25.6,28.0,5.4,3.7,165146.0,0.5,0.1,1.9,40.8,5.8,26.6,(X),25402,61156,45945,1514,62986,27889,19504,8387,1.2,2.4,2.63,5.9,8.3,6.8,14.1,27.1,27.7,16.1,26768,19877,75016,1.5,2.8,67.7,1.8,1.8,2.1,2.7,0.0,19.6,2.4
Anderson County, South Carolina,2016,33.7,12.8,8.4,84.0,19.0,11.0,10.2,65.8,24.9,3.9,34.2,6278,96.0,26.5,30.7,3.4,1.7,192709.0,0.5,0.1,1.0,40.5,5.9,24.0,(X),24573,61089,45090,2294,61977,20822,18359,8739,1.7,2.61,2.5,5.5,11.1,6.8,13.6,24.8,27.9,15.7,24793,25397,86749,2.6,1.9,67.9,0.8,2.5,1.9,3.4,0.0,19.0,2.61
Beaufort County, South Carolina,2016,22.9,23.6,18.1,94.5,22.3,3.6,7.5,66.2,20.7,2.4,33.8,15508,90.2,24.8,31.9,11.3,6.7,175316.0,0.7,0.2,4.2,43.6,5.8,23.4,(X),36370,89311,65919,1010,74716,44798,24040,9974,2.1,2.46,3.06,5.6,3.2,3.9,11.1,28.3,32.6,20.9,30269,20001,96897,4.0,7.5,62.5,0.9,9.6,2.3,3.7,0.0,9.4,2.46
Berkeley County, South Carolina,2016,27.4,16.3,9.0,87.3,24.3,9.1,10.4,69.4,29.9,4.1,30.6,11122,92.9,27.8,33.6,6.1,2.9,199081.0,0.8,0.1,2.7,35.6,6.8,27.4,(X),28476,75759,59153,2176,74468,28374,18327,8938,0.7,2.74,2.8,6.0,6.0,6.3,9.7,28.0,30.7,19.3,35063,18277,81033,3.2,3.9,65.4,1.1,2.7,1.8,4.1,0.1,17.8,2.74
Charleston County, South Carolina,2016,22.1,27.2,14.4,89.9,17.7,7.5,8.5,54.9,21.4,2.9,45.1,18280,94.4,36.1,41.8,5.0,2.8,380673.0,0.7,0.1,1.0,36.8,6.1,23.9,(X),35768,85601,56827,1792,87733,26940,18263,8038,2.1,2.59,2.24,5.6,6.5,5.5,11.0,22.0,34.0,21.0,64050,31726,184094,4.8,6.1,58.2,3.2,6.8,6.0,8.3,0.0,6.7,2.59
Darlington County, South Carolina,2016,33.2,10.9,6.4,78.6,19.4,14.6,8.7,60.9,23.3,1.9,39.1,1233,97.8,31.6,37.3,1.8,1.0,67689.0,0.2,0.0,0.4,41.2,5.9,21.3,(X),21774,53488,36841,N,57258,15339,15837,10712,2.7,2.59,2.39,5.5,15.1,8.5,19.0,22.3,20.9,14.3,8823,10769,30289,N,N,N,N,N,N,N,N,N,2.59
Dorchester County, South Carolina,2016,25.9,19.6,9.5,87.9,21.9,8.0,10.9,67.9,28.5,3.4,32.1,5932,94.2,28.5,37.2,4.9,2.3,148517.0,1.2,0.2,1.3,36.0,6.4,29.4,(X),27341,71563,57637,2462,69327,21345,18616,8497,2.0,2.78,2.66,5.9,4.6,5.5,10.2,29.7,32.5,17.4,27610,11299,59263,7.4,4.5,67.2,0.8,1.0,3.4,4.3,0.0,11.4,2.78
Florence County, South Carolina,2016,30.8,14.6,7.7,83.3,20.7,10.8,9.5,68.6,28.6,4.8,31.4,4274,95.9,34.7,34.0,2.4,1.5,138575.0,0.4,0.2,0.3,38.5,6.5,23.0,(X),23748,61747,46524,1358,64024,25654,16864,8827,1.6,2.64,2.83,5.6,8.0,7.1,16.0,28.5,25.7,14.8,18743,16041,59355,2.5,2.8,63.9,2.4,1.7,3.9,3.1,0.1,19.6,2.64
Greenville County, South Carolina,2016,22.9,21.9,12.1,87.5,21.6,8.4,8.9,66.5,28.2,4.1,33.5,37778,91.1,27.7,34.3,8.7,4.3,482191.0,0.9,0.2,1.7,37.9,6.5,22.7,(X),29930,75932,55342,2432,77489,21702,19760,10044,1.4,2.7,2.4,5.8,6.8,5.5,11.4,25.4,28.5,22.3,77837,44229,207296,4.7,3.6,67.4,2.4,6.5,2.7,4.2,0.1,8.3,2.7
Greenwood County, South Carolina,2016,30.1,16.5,7.5,85.9,20.6,10.4,11.2,66.4,26.7,10.4,33.6,4102,94.1,35.6,36.8,5.8,4.1,69881.0,0.6,0.0,2.0,39.1,6.4,21.2,(X),21329,52756,38200,N,50223,17660,19411,8555,0.0,2.23,2.81,5.3,10.7,4.8,12.5,29.3,29.5,13.3,9170,7559,31253,1.2,3.5,64.3,5.7,3.1,4.5,6.4,0.0,11.3,2.23
Horry County, South Carolina,2016,31.7,15.0,7.4,89.6,25.8,6.9,9.7,64.1,19.8,4.2,35.9,20358,92.8,25.4,32.7,6.0,3.0,300418.0,1.0,0.1,2.2,43.8,5.2,21.1,(X),25807,61572,45621,1688,56981,27902,20404,11358,1.3,2.48,2.66,4.9,4.1,4.8,11.5,29.8,31.3,18.6,49712,38690,199567,5.9,5.2,45.7,1.2,17.8,2.4,6.9,0.0,14.9,2.48
Lancaster County, South Carolina,2016,33.0,18.1,8.4,86.9,17.1,9.5,10.3,70.7,26.0,3.2,29.3,2880,96.7,23.2,35.1,4.9,2.8,83704.0,0.3,0.2,2.0,41.5,6.0,30.0,(X),28913,77045,56216,N,83922,24604,21043,9839,0.5,2.58,3.2,6.1,9.9,6.1,10.7,22.5,33.8,17.0,17055,10197,36069,0.5,4.0,78.9,1.5,1.8,1.2,0.9,0.0,11.1,2.58
Laurens County, South Carolina,2016,31.2,9.4,4.5,79.2,23.9,13.1,10.1,68.7,28.1,9.0,31.3,2073,95.3,28.3,33.0,4.3,2.9,66442.0,0.5,0.0,2.1,40.8,6.0,25.2,(X),21753,56140,44038,3334,53249,23676,16809,9917,1.3,2.39,3.01,5.6,12.4,9.7,15.6,23.8,23.3,15.2,8509,8171,30668,0.6,0.2,61.9,1.3,0.6,2.3,2.6,0.0,30.6,2.39
Lexington County, South Carolina,2016,29.6,19.6,10.9,89.5,20.8,6.5,8.6,68.7,28.9,5.1,31.3,13239,93.9,26.4,29.8,5.6,3.4,277702.0,0.6,0.2,1.7,38.8,6.1,27.0,(X),29860,75343,57382,2911,74963,24965,18963,9967,1.6,2.64,2.37,5.9,6.7,6.3,14.1,27.4,28.1,17.5,52772,28611,121307,1.7,1.7,67.6,1.7,3.2,1.9,2.9,0.1,19.2,2.64
Oconee County, South Carolina,2016,29.9,14.8,9.6,85.3,22.8,9.5,8.1,69.1,25.0,6.6,30.9,4309,93.6,21.2,25.1,4.9,3.5,75375.0,0.2,0.0,1.8,44.9,5.3,26.4,(X),27359,64615,43743,N,61444,31620,21136,12066,0.9,2.38,2.43,5.6,9.0,8.6,14.3,25.1,25.9,17.1,10852,11467,39424,2.6,1.9,67.6,1.6,0.8,3.3,1.7,0.0,20.4,2.38
Pierce County, Washington,2016,27.0,17.9,9.0,90.9,25.9,5.9,11.1,65.9,29.9,4.7,34.1,80094,87.5,28.5,35.5,10.1,7.2,832896.0,0.9,0.1,3.3,36.0,6.9,32.3,(X),31783,82680,64434,2586,82269,27712,19250,9750,2.2,2.74,2.52,5.6,5.1,5.6,11.2,25.3,29.3,23.4,138321,52340,338550,4.6,4.8,64.9,2.8,7.3,4.0,5.8,0.1,5.7,2.74
Orangeburg County, South Carolina,2016,31.9,12.1,6.0,85.7,20.5,10.0,15.3,56.6,22.2,5.1,43.4,1419,98.2,40.9,41.3,2.0,1.3,89731.0,0.6,0.0,1.1,39.1,6.1,29.4,(X),18886,46106,32450,2022,46112,29034,15825,8646,3.0,2.46,2.7,5.4,10.6,9.0,13.7,34.0,26.4,6.3,9375,12351,42059,0.7,0.8,58.2,5.6,0.3,2.0,1.1,0.1,31.2,2.46
Pickens County, South Carolina,2016,26.6,17.1,10.3,83.7,19.3,10.8,10.4,64.4,24.3,5.4,35.6,4354,96.2,32.3,39.4,3.4,1.8,120722.0,0.4,0.2,1.2,35.8,5.0,26.5,(X),25953,64839,45779,3058,66652,17580,19895,8856,2.2,2.6,2.22,5.4,9.5,7.1,11.8,22.5,25.5,23.6,18326,12929,52866,6.5,0.9,60.6,1.9,2.4,3.5,3.5,0.0,20.6,2.6
Richland County, South Carolina,2016,22.1,23.1,15.8,90.6,21.5,6.2,8.1,60.5,28.4,5.2,39.5,22658,93.1,40.6,46.8,5.0,2.1,401743.0,1.4,0.2,2.1,32.9,6.0,21.8,(X),28041,71025,52030,2076,66355,26758,17839,8093,1.6,2.55,2.36,5.8,6.3,5.6,11.2,24.7,27.0,25.2,62136,27285,171101,6.8,2.3,64.8,2.7,7.6,3.9,6.4,0.0,5.6,2.55
Spartanburg County, South Carolina,2016,31.3,14.3,8.0,84.9,20.2,10.0,11.2,66.7,24.6,5.5,33.3,18177,93.1,29.3,34.6,6.3,4.6,294229.0,0.5,0.1,2.1,38.2,6.2,22.8,(X),24959,63453,47371,3373,63974,18352,19225,8309,3.1,2.65,2.46,5.4,10.6,6.4,13.1,25.0,25.6,19.3,46968,32312,126531,2.1,1.6,70.0,3.2,2.7,1.8,3.2,0.0,15.4,2.65
Sumter County, South Carolina,2016,31.6,13.2,6.3,85.8,25.6,9.8,9.2,65.2,24.5,4.8,34.8,3283,94.6,30.5,37.4,3.7,1.9,107682.0,0.5,0.0,1.0,35.8,7.0,22.4,(X),22109,56274,40614,1298,56245,23099,16159,8365,1.2,2.56,2.48,5.6,9.7,7.5,13.8,26.2,24.7,18.1,15176,11902,47275,1.1,1.6,63.8,2.8,2.9,1.7,2.2,0.0,23.9,2.56
York County, South Carolina,2016,25.8,19.9,9.9,89.4,22.8,6.5,10.9,70.6,30.8,5.3,29.4,13108,94.0,26.5,30.3,5.0,2.0,245606.0,1.1,0.4,1.6,38.2,6.4,27.7,(X),30589,79926,60767,1501,81065,20366,20336,8930,0.6,2.67,2.41,5.8,6.2,5.3,11.6,27.6,29.3,20.0,46346,22434,104115,4.2,5.7,67.4,0.8,5.1,2.3,3.4,0.0,10.9,2.67
Minnehaha County, South Dakota,2016,25.4,23.0,10.4,91.7,21.9,4.8,11.0,60.2,28.6,4.6,39.8,13284,92.4,28.6,37.2,4.7,2.6,182014.0,0.2,0.1,2.4,34.8,7.8,17.7,(X),30725,75126,60038,2185,76407,22052,18109,9524,1.7,2.65,2.11,5.9,5.6,4.1,10.5,25.5,30.4,23.8,33295,14247,79133,6.5,4.0,62.7,1.0,12.8,3.9,4.7,0.0,4.4,2.65
Pennington County, South Dakota,2016,26.2,19.6,10.6,91.5,23.4,6.3,11.7,62.8,25.0,3.1,37.2,2653,95.5,30.0,33.9,4.8,3.2,107298.0,0.5,0.1,0.8,37.5,6.9,16.9,(X),27824,67638,50950,2379,63636,21906,18556,6369,0.0,2.55,2.26,5.5,4.4,6.3,12.0,25.3,29.3,22.8,16457,12941,47636,3.1,5.1,62.8,4.0,7.9,3.2,2.7,0.0,11.2,2.55
Anderson County, Tennessee,2016,32.0,13.2,9.9,88.0,25.6,7.0,7.2,68.4,27.7,8.6,31.6,2403,96.5,18.9,24.8,2.5,1.6,75545.0,0.1,0.1,0.6,43.3,5.4,22.3,(X),25908,61601,46055,2473,60172,22434,18462,9142,3.5,2.47,2.26,5.5,12.4,8.4,10.6,22.8,28.1,17.8,9980,9978,34854,3.2,1.6,65.1,1.4,5.1,5.3,4.3,0.0,13.8,2.47
Blount County, Tennessee,2016,33.7,14.8,8.1,88.7,22.4,7.6,9.7,66.8,23.2,3.3,33.2,4063,95.8,20.4,27.8,3.0,2.4,126192.0,0.3,0.0,0.3,43.0,5.2,24.6,(X),26868,66674,51183,3051,66251,26561,20254,9247,2.2,2.63,2.29,5.6,7.7,5.4,16.0,30.2,25.9,14.8,21763,16693,56929,2.1,4.2,71.5,1.8,2.5,1.6,3.3,0.0,13.1,2.63
Bradley County, Tennessee,2016,34.8,15.1,7.9,86.0,20.4,8.7,7.8,66.1,21.2,3.7,33.9,5847,94.0,23.4,27.1,5.6,4.0,102860.0,0.3,0.1,0.8,39.3,5.7,21.3,(X),23949,59809,44853,2523,58689,23014,17926,10206,0.0,2.61,2.26,5.5,9.6,5.5,12.0,27.7,26.2,19.0,N,N,43362,2.3,3.2,69.5,5.3,1.4,4.1,4.9,0.0,9.3,2.61
Davidson County, Tennessee,2016,22.3,24.9,14.9,87.6,19.6,8.2,5.8,55.4,22.6,4.3,44.6,83145,86.6,38.5,43.1,10.0,5.9,667885.0,0.7,0.3,3.6,34.2,7.0,25.2,(X),32860,78234,54855,2863,77611,21421,18611,9455,1.0,2.47,2.22,5.2,5.0,4.8,8.5,22.3,33.3,26.1,105522,45203,306362,8.5,7.0,53.1,5.7,13.3,3.8,7.2,0.1,1.3,2.47
Greene County, Tennessee,2016,44.0,10.1,6.2,85.7,19.4,8.3,6.0,63.6,17.0,3.8,36.4,726,98.6,19.9,33.3,2.7,1.8,68502.0,0.3,0.3,0.9,44.0,4.7,22.1,(X),24301,60485,41109,1465,63633,18548,17496,9021,1.5,2.69,2.39,5.3,13.8,11.6,13.4,26.8,19.3,15.1,9727,9324,32197,2.6,0.9,68.7,1.8,1.5,1.4,4.0,0.0,19.1,2.69
Hamilton County, Tennessee,2016,29.3,21.1,9.5,88.8,19.2,7.2,9.5,55.7,18.4,2.9,44.3,16742,94.6,31.6,37.9,5.1,2.7,351305.0,0.6,0.2,1.0,39.3,5.9,22.4,(X),29576,71471,47898,4032,74687,28863,19173,8983,1.8,2.56,2.33,5.8,6.6,7.3,14.4,23.5,31.5,16.6,54885,37284,157765,3.8,2.9,69.2,6.9,5.1,3.1,6.1,0.0,2.8,2.56
Knox County, Tennessee,2016,24.1,23.8,14.6,90.8,20.2,6.3,8.1,59.6,24.8,4.1,40.4,20097,94.8,28.8,36.0,3.8,2.2,448164.0,0.4,0.2,1.1,37.3,5.8,22.4,(X),29660,72285,52102,1896,73987,24401,19391,10540,1.7,2.47,2.32,5.7,6.8,5.5,11.7,24.4,28.1,23.4,71957,44592,201886,6.8,6.3,66.3,1.4,7.4,3.0,5.1,0.1,3.7,2.47
Madison County, Tennessee,2016,40.5,13.4,7.6,88.1,21.3,8.6,5.3,67.2,25.0,4.3,32.8,2125,96.3,32.7,33.6,3.6,2.7,98128.0,0.2,0.1,0.5,37.8,6.4,18.4,(X),23717,58283,41791,5925,64967,18767,18428,9643,0.7,2.58,2.39,5.7,6.5,5.2,16.9,22.0,30.3,19.2,11867,11264,42934,3.2,2.8,74.6,3.2,2.4,2.8,4.6,0.1,6.2,2.58
Maury County, Tennessee,2016,34.1,13.6,8.6,91.1,24.8,5.8,10.1,66.6,27.8,4.5,33.4,2123,97.0,23.7,28.1,5.3,4.4,85767.0,0.3,0.1,1.2,39.1,6.7,29.9,(X),24952,64296,50591,2058,63705,19961,20861,9149,0.0,2.73,2.43,5.5,7.9,4.9,14.9,22.0,32.0,18.3,13308,10051,36671,1.9,1.7,68.7,6.7,3.2,3.1,2.6,0.0,12.2,2.73
Montgomery County, Tennessee,2016,29.8,18.4,7.4,91.8,27.7,5.9,8.4,73.0,39.2,5.5,27.0,9050,91.7,24.6,30.8,9.5,4.0,189709.0,3.1,0.3,2.1,30.3,8.7,25.8,(X),24535,65397,56112,1967,60905,23854,17831,10166,2.6,2.85,2.64,5.8,5.0,5.6,9.8,19.2,32.7,27.7,29683,12021,79450,4.2,1.8,72.4,5.1,3.0,5.6,3.8,0.0,4.1,2.85
Putnam County, Tennessee,2016,38.2,16.9,11.2,86.3,16.2,7.8,3.8,61.5,23.3,3.6,38.5,4556,93.2,26.5,31.5,5.8,3.9,74652.0,0.4,0.2,0.5,36.1,5.8,25.3,(X),23476,56080,37437,N,58294,17399,18787,7706,2.0,2.39,2.23,5.8,6.9,5.8,14.8,25.1,25.5,21.9,11123,8265,33695,3.1,2.1,68.6,2.4,1.7,6.1,9.1,0.1,6.8,2.39
Robertson County, Tennessee,2016,37.8,13.0,6.7,85.7,20.4,8.7,7.8,75.1,32.7,4.4,24.9,1908,96.5,19.2,25.7,6.1,4.3,67905.0,0.5,0.3,2.0,38.5,6.5,29.5,(X),28094,74977,60423,2370,78973,14642,17115,13014,0.6,2.64,2.84,5.8,6.3,6.0,15.2,30.3,25.7,16.5,N,N,26842,2.4,1.4,77.0,3.3,1.2,1.7,1.7,0.0,11.3,2.64
Rutherford County, Tennessee,2016,29.6,22.0,9.9,93.0,23.4,4.7,8.1,69.3,35.5,4.5,30.7,21900,91.8,31.4,35.5,7.2,4.7,290289.0,0.7,0.1,1.1,32.9,6.7,28.4,(X),27704,75267,61157,3338,73328,20937,19616,10355,0.1,2.74,2.7,6.0,2.9,4.0,10.9,30.4,28.8,22.9,52735,20761,115464,4.8,4.4,69.8,1.7,4.9,1.6,8.2,0.0,4.7,2.74
Sevier County, Tennessee,2016,38.4,11.6,6.7,86.3,22.8,8.4,6.7,72.1,26.6,3.3,27.9,4094,95.6,19.7,27.9,5.4,2.7,94537.0,0.2,0.4,1.9,42.4,5.5,26.5,(X),22460,56756,45609,N,51553,20940,20154,9397,2.8,2.61,2.74,5.2,6.0,5.9,14.1,31.3,29.3,13.4,14977,10184,56577,2.4,0.9,69.6,2.5,6.9,3.7,3.8,0.3,9.9,2.61
